Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2020-08-01 11:00:00,51.5,5.6,1.5,981.15,0.0,944.4760000000001,263,29.3,0.0,12,11,1,8,2020,0,0,2.9480115789545476,3.4657359027997265,0.6115574353454918,3.010177456033436,0.426574074742165
2020-08-01 12:00:00,39.0,5.6,5.0,980.2,0.0,897.2339999999997,315,31.9,1.18421,8,12,1,8,2020,0,0,2.995732273553991,3.5723455949962166,0.6278083336522362,3.0561686560035426,0.426574074742165
2020-08-01 13:00:00,34.0,5.6,1.5,979.8,0.0,795.8389999999997,327,32.4,0.0,4,13,1,8,2020,0,0,3.0125893981222767,4.063885367846317,0.6052445121184247,2.9008720218899873,0.426574074742165
2020-08-01 14:00:00,33.5,6.0,1.5,979.2,0.0,649.3290000000002,323,32.5,0.0,2,14,1,8,2020,0,0,3.2161119992528167,4.354141470410024,0.5472539853451591,2.4260409083846115,0.5866749238500351
2020-08-01 15:00:00,31.0,6.4,5.0,978.7,0.0,471.1,345,32.6,0.0,1,15,1,8,2020,0,0,3.1580211837328345,4.325456263001904,0.4734352238553495,2.356125878001209,0.8458682859962117
2020-08-01 16:00:00,32.5,6.8,5.0,979.05,0.0,278.93,335,31.4,0.0,1,16,1,8,2020,0,0,2.8532466173392756,4.389498630581082,0.4260517362979487,2.300282467637016,0.7246458527018829
2020-08-01 17:00:00,37.5,6.4,5.0,979.4,0.0,97.5,335,29.6,0.0,0,17,1,8,2020,0,0,3.0785556937451832,4.445001398016516,0.39998345137919605,2.2809528185945034,0.8458682859962117
2020-08-01 18:00:00,40.0,5.2,5.0,979.7,0.0,0.0,330,28.3,0.0,0,18,1,8,2020,0,0,2.8790299534958783,4.493120699247465,0.3627663512195604,2.014102694772127,0.5866749238500351
2020-08-01 19:00:00,44.0,4.4,5.0,983.7,0.0,0.0,360,27.0,0.0,0,19,1,8,2020,0,0,2.735211316094546,4.517431255022018,0.3851263339981715,2.5225235164208617,0.953971781943146
2020-08-01 20:00:00,53.0,3.6,5.0,984.25,0.0,0.0,290,24.7,0.0,0,20,1,8,2020,0,0,3.0346645136418773,4.526126995161479,0.39298759535226346,2.6517619897604194,0.953971781943146
2020-08-01 21:00:00,52.5,3.6,5.0,984.5,0.0,0.0,325,24.7,0.0,0,21,1,8,2020,0,0,2.9130569426859587,4.418840607796598,0.44186131526838446,3.0288285172814313,0.5866749238500351
2020-08-01 22:00:00,58.0,3.6,5.0,984.4,0.0,0.0,115,23.0,0.0,0,22,1,8,2020,0,0,3.183787382424443,4.338597056826456,0.46543069214973465,3.2949475755973707,0.5866749238500351
2020-08-01 23:00:00,59.5,3.6,5.0,984.5,0.0,0.0,190,22.2,0.0,0,23,1,8,2020,0,0,3.255477696715146,4.534747688947363,0.40232685222742026,2.9420150160043423,0.5866749238500351
2020-08-02 00:00:00,64.5,4.0,1.5,984.4,0.0,0.0,15,21.0,0.0,3,0,2,8,2020,0,1,3.2133405137298627,4.62693164790896,0.4336637792174905,2.5820333587879167,0.7246458527018829
2020-08-02 01:00:00,70.5,4.0,1.5,984.3,0.0,0.0,43,19.5,0.0,8,1,2,8,2020,0,1,3.138489735492009,4.623010134094397,0.4321719521128813,2.220615562423157,0.7246458527018829
2020-08-02 02:00:00,68.0,4.0,1.5,984.45,0.0,0.0,50,19.7,0.0,10,2,2,8,2020,0,1,3.216352655337846,4.5152454951546215,0.4661838587592197,2.2809528185945034,0.426574074742165
2020-08-02 03:00:00,71.0,4.0,1.5,984.95,0.0,0.0,25,18.8,0.0,10,3,2,8,2020,0,1,3.628598519177283,4.382026634673881,0.5398211435426038,2.5377362652417323,0.23586232579355187
2020-08-02 04:00:00,72.5,3.6,1.5,984.85,0.0,42.854,30,18.0,0.0,8,4,2,8,2020,0,1,3.4773556484795947,4.183575672689694,0.5834997033804049,2.691378656987876,0.23586232579355187
2020-08-02 05:00:00,63.5,4.4,1.5,985.2,0.0,210.18400000000003,25,20.3,0.0,5,5,2,8,2020,0,1,3.1693493820217054,4.0673159159622445,0.6165900462038487,2.8469422353823215,0.426574074742165
